상품명,상품URL,브랜드,거래량,최근거래가,모델번호,발매일,발매일로부터현재까지일,발매가,색상,색상개수,최고거래가,최고거래성사일,최저거래가,최저거래성사일,관심,스타일
나이키 V2K 런 서밋 화이트 메탈릭 실버,https://kream.co.kr/products/137241,Nike,53000,115000,FD0736-100,2023/06/15,340,139000,Summit White/Metallic Silver,2,399000,2023/06/15,82000,2024/01/14,7,1
아디다스 삼바 OG 클라우드 화이트,https://kream.co.kr/products/15251,Adidas,90000,142000,B75806,2018/01/01,2331,139000,Cloud White/Core Black/Clear Granite,3,350000,2023/02/01,70000,2024/02/06,120000,1
나이키 에어포스 1 '07 로우 화이트,https://kream.co.kr/products/12831,Nike,474000,148000,315122-111/CW2288-111,-,,139000,White/White,2,299000,2022/02/15,80000,2022/11/19,21,9
나이키 V2K 런 퓨어 플래티넘 울프 그레이,https://kream.co.kr/products/229945,Nike,14000,123000,FD0736-003,2024/01/18,123,139000,Pure Platinum/Wolf Grey/Cool Grey/Metallic Cool Grey,4,249000,2024/04/14,98000,2024/04/18,2,172
뉴발란스 530 스틸 그레이,https://kream.co.kr/products/28260,New Balance,130000,142000,MR530KA,2021/01/08,1228,129000,Steel Grey,1,319000,2022/12/06,70000,2021/07/30,10,1
나이키 에어포스 1 '07 WB 플랙스,https://kream.co.kr/products/21935,Nike,180000,154000,CJ9179-200,2019/09/10,1714,169000,Flax/Gum/Light Brown/Black/Wheat,5,450000,2022/09/07,73000,2024/01/22,16,5
뉴발란스 530 화이트 실버,https://kream.co.kr/products/90805,New Balance,27000,126000,MR530AD,2023/01/06,500,119000,White/Silver,2,199000,2024/03/17,81000,2023/12/20,50000,358
나이키 V2K 런 블랙 앤트러사이트,https://kream.co.kr/products/181385,Nike,12000,116000,FD0736-001,2023/11/02,200,139000,Black/Anthracite/Dark Smoke Grey,3,230000,2024/03/05,90000,2023/12/30,3,191
뉴발란스 1906R 하버 그레이 실버 메탈릭,https://kream.co.kr/products/226053,New Balance,4912,289000,M1906REH,2024/01/12,129,179000,Harbor Grey/Silver Metalic,2,385000,2024/04/28,130000,2024/02/28,1,80
아디다스 삼바 OG 블랙 화이트 검,https://kream.co.kr/products/15248,Adidas,70000,124000,B75807,2018/06/01,2180,139000,Core Black/Cloud White/Gum,3,409000,2023/02/16,60000,2023/07/31,110000,1
나이키 V2K 런 메탈릭 실버 화이트,https://kream.co.kr/products/266889,Nike,1922,114000,FD0736-104,-,,139000,Metallic Silver/White,2,199000,2024/04/13,89000,2024/05/16,7872,17
(W) 아식스 젤 카야노 14 화이트 미드나잇,https://kream.co.kr/products/97779,Asics,23000,211000,1202A056-109,2023/01/31,475,169000,White/Midnight,2,550000,2023/05/18,134000,2023/11/20,4,859
나이키 에어 줌 스피리돈 케이지 2 메탈릭 실버,https://kream.co.kr/products/23879,Nike,5086,201000,CJ1288-001,-,,,Metallic Silver/Black-White,2,590000,2023/06/07,130000,2021/01/05,1,167
나이키 x 퓨츄라 래버러토리 SB 덩크 로우 OG QS 화이트 앤 지오드 틸,https://kream.co.kr/products/287503,Nike,196,370000,HF6061-400,2024/05/15,5,159000,Bleached Aqua/Geode Teal/White,3,700000,2024/05/17,269000,2024/05/18,1055,19
(W) 나이키 줌 보메로 5 코블스톤 앤 플랫 퓨터,https://kream.co.kr/products/81175,Nike,49000,179000,FB8825-001,2022/10/19,579,189000,Cobblestone/Light Bone/Light Bone,3,488000,2023/04/01,21000,2023/09/30,4,1
뉴발란스 530 프리미엄 빈티지 그레이 매터,https://kream.co.kr/products/101218,New Balance,17000,121000,MR530TG,2023/02/23,452,159000,Grey Matter,1,299000,2024/04/06,90000,2024/01/28,3,348
(W) 나이키 줌 보메로 5 포톤 더스트 앤 메탈릭 실버,https://kream.co.kr/products/97347,Nike,26000,215000,FD0884-025,2023/02/28,447,189000,Photon Dust/Metallic Silver,2,550000,2023/11/04,135000,2024/04/30,4,840
아식스 조그 100 S 화이트 블랙 - 2E 와이드 (한국 한정),https://kream.co.kr/products/154837,Asics,13000,123000,1201A967-100,2023/07/28,297,79000,White/Black,2,195000,2023/07/28,32000,2023/08/21,4,419
나이키 필드 제너럴 82 블랙 앤 화이트,https://kream.co.kr/products/274032,Nike,483,138000,FQ8762-001,2024/04/18,32,119000,Black/White/Black,3,200000,2024/04/18,80000,2024/05/11,6256,43
(W) 아디다스 스페지알 핸드볼 클리어 핑크,https://kream.co.kr/products/140265,Adidas,21000,128000,IF6561,-,,139000,Clear Pink/Arctic Night/Gum,3,285000,2024/04/08,90000,2024/01/19,7,435
나이키 에어포스 1 '07 로우 트리플 블랙,https://kream.co.kr/products/36,Nike,82000,124000,315122-001/CW2288-001,-,,139000,Black/Black,2,285000,2022/09/06,63000,2024/03/15,100000,2
뉴발란스 530 화이트,https://kream.co.kr/products/23928,New Balance,98000,124000,MR530SG,2019/12/02,1631,119000,White/Silver/Blue,3,299000,2021/02/20,47000,2023/07/05,8,1
아식스 조그 100 2 블랙,https://kream.co.kr/products/36038,Asics,22000,119000,TJG138-9090,-,,79000,Black/Black/Carbon,3,170000,2023/10/08,38000,2022/08/21,5,345
아식스 젤 카야노 14 크림 블랙,https://kream.co.kr/products/129482,Asics,21000,264000,1201A019-108,2023/08/09,285,169000,Cream/Black,2,450000,2024/03/28,149000,2023/09/19,4,834
나이키 P-6000 메탈릭 실버,https://kream.co.kr/products/24137,Nike,12000,111000,CN0149-001,2019/07/30,1756,162500,Metallic Silver/Sail/Black,3,399000,2022/12/25,89000,2024/04/19,1,293
아디다스 버뮤다 글로우 핑크,https://kream.co.kr/products/122782,Adidas,10000,153000,GY7386,2023/05/09,377,139000,Glow Pink/Clear Pink/Gum,3,439000,2023/10/06,100000,2024/03/29,6,394
아디다스 VL 코트 베이스 클라우드 화이트 코어 블랙,https://kream.co.kr/products/187442,Adidas,4338,58000,ID3711,-,,,Cloud White/Core Black/Grey One,3,129000,2024/04/08,25000,2024/03/30,1,37
아디다스 스페지알 핸드볼 쉐도우 브라운 알루미늄,https://kream.co.kr/products/249840,Adidas,517,287000,IE3710,2024/02/10,100,139000,Shadow Brown/Aluminium/Gum,3,287000,2024/05/19,127000,2024/05/14,10000,6
나이키 줌 보메로 5 프리미엄 라이트 아이언 오어 앤 플랫 퓨터,https://kream.co.kr/products/89548,Nike,25000,175000,FD0791-012,2022/12/12,525,209000,Lightt Iron Ore/Metallic Silver/Photon Dust/Flat Fewter,4,499000,2023/01/17,115000,2024/01/16,4,769
(W) 나이키 에어포스 1 '07 로우 화이트,https://kream.co.kr/products/13100,Nike,163000,138000,315115-112/DD8959-100,-,,139000,White/White,2,263000,2022/09/09,80000,2023/12/06,12,2
뉴발란스 2002R 그레이,https://kream.co.kr/products/25785,New Balance,74000,149000,ML2002RC,2020/09/25,1333,169000,Grey,1,270000,2023/04/04,100000,2024/04/05,8,1
나이키 줌X 베이퍼플라이 넥스트% 3 화이트 그레이,https://kream.co.kr/products/107805,Nike,13000,210000,DV4129-100,2023/04/13,403,299000,White/Particle Grey/Metallic Silver/Dark Smoke Grey,4,500000,2023/04/10,90000,2023/05/26,1,262
휠라 에샤페 MS 그레이 화이트,https://kream.co.kr/products/247965,Fila,1050,93000,1XM02348G063,-,,99000,Grey/White/White,3,180000,2024/04/07,83000,2024/05/19,7179,23
아디다스 스페지알 핸드볼 라이트 블루,https://kream.co.kr/products/47058,Adidas,5675,136000,BD7632,2019/02/18,1918,139000,Light Blue/Footwear White/Gum 5,3,319000,2023/05/31,90000,2023/11/22,2,198
조던 x 트래비스 스캇 점프맨 잭 TR 세일 앤 다크 모카,https://kream.co.kr/products/237579,Jordan,841,760000,FZ8117-100,2024/04/30,20,239000,Sail/Dark Mocha/Muslin,3,2700000,2024/03/16,650000,2024/04/29,5014,177
아디다스 슈퍼스타 코어 블랙 화이트,https://kream.co.kr/products/26344,Adidas,61000,106000,EG4959,2019/12/23,1610,139000,Core Black/Footwear White,2,268000,2023/03/11,55000,2020/12/10,100000,1
아식스 젤 1130 화이트 클라우드 그레이,https://kream.co.kr/products/259795,Asics,2970,117000,1201A256-118,2024/03/13,68,109000,White/Cloud Grey,2,185000,2024/05/01,99000,2024/03/20,1,28
(W) 조던 1 로우 화이트 울프 그레이,https://kream.co.kr/products/36237,Jordan,58000,122000,DC0774-105,2021/07/17,1038,139000,White/Wolf Grey/Aluminum,3,730000,2023/02/18,30000,2021/12/01,8,1
나이키 줌 보메로 5 SP 바스트 그레이 2023,https://kream.co.kr/products/94650,Nike,24000,135000,BV1358-001,2023/04/03,413,189000,Vast Grey/Vast Grey/Black/Sail,4,390000,2023/02/28,100000,2024/04/27,3,593
아디다스 슈퍼스타 82 블랙 화이트,https://kream.co.kr/products/48974,Adidas,31000,117000,GY3428,2021/12/28,874,139200,Core Black/Aluminium/Cream White,3,399000,2022/09/16,84000,2024/05/18,7,879
나이키 덩크 로우 레트로 바시티 그린,https://kream.co.kr/products/32655,Nike,13000,129000,DD1391-101,-,,,White/Team Green/Orange,3,950000,2022/05/27,125000,2024/05/17,30000,1
아디다스 스페지알 핸드볼 컬리지에이트 네이비,https://kream.co.kr/products/41205,Adidas,8083,122000,BD7633,-,,139000,Collegiate Navy/Clear Sky/Gum 5,3,380000,2023/04/19,68000,2023/12/20,4,184
나이키 덩크 로우 레트로 그레이 포그,https://kream.co.kr/products/41193,Nike,68000,112000,DD1391-103,2021/09/21,972,139000,White/Grey Fog,2,650000,2022/01/31,89000,2023/12/23,10,1
(W) 아디다스 삼바 OG 크림 화이트 코어 블랙,https://kream.co.kr/products/196266,Adidas,5893,123000,ID0478,2024/02/16,94,139000,Cream White/Core Black,2,289000,2024/02/14,109000,2024/03/15,2,107
오니츠카 타이거 멕시코 66 블랙 화이트,https://kream.co.kr/products/101161,Onitsuka Tiger,13000,155000,1183C102-001,-,,162500,Black/White,2,380000,2023/03/20,115000,2023/11/18,4,265
조던 1 레트로 로우 OG 블랙토,https://kream.co.kr/products/147936,Jordan,11000,137000,CZ0790-106,2023/07/28,297,169000,White/Black/Varsity Red,3,399000,2024/01/18,110000,2024/04/29,2,1
나이키 에어맥스 토치 4 앤트러사이트 메탈릭 실버,https://kream.co.kr/products/256555,Nike,279,78000,343846-002,-,,,Anthracite/Metallic Silver,2,99000,2024/03/28,60000,2024/04/02,3057,5
(W) 아식스 젤 플럭스 4 CN 그레이 실버,https://kream.co.kr/products/164445,Asics,1257,128000,1012B464-020,-,,,Gray/Silver,2,225000,2024/03/22,89000,2024/05/14,1,24
나이키 x 슈프림 에어포스 1 로우 화이트,https://kream.co.kr/products/23632,Nike,58000,197000,CU9225-100,2020/03/05,1537,159800,White/White-White,2,750000,2020/07/29,145000,2022/11/12,5,3
나이키 V2K 런 라이트 오어우드 브라운 카키,https://kream.co.kr/products/229964,Nike,1855,103000,FD0736-103,2024/01/04,137,139000,Light Orewood Brown/Khaki/Earth/Light Bone,4,189000,2024/05/10,88000,2024/03/19,7063,19
오니츠카 타이거 멕시코 66 옐로우 블랙,https://kream.co.kr/products/99184,Onitsuka Tiger,9728,181000,1183C102-751,-,,160000,Yellow/Black,2,360000,2023/03/02,90000,2023/12/01,3,637
(W) 나이키 코르테즈 화이트 앤 블랙,https://kream.co.kr/products/98811,Nike,4684,93000,DN1791-100,2023/02/09,466,109000,White/Black/Light Photon Blue,3,172000,2023/04/06,50000,2024/01/29,1,65
뉴발란스 993 메이드 인 USA 그레이 - D 스탠다드,https://kream.co.kr/products/23852,New Balance,69000,320000,MR993GL,2018/08/21,2099,259000,Grey/White,2,498000,2021/09/14,100000,2021/04/19,4,2
나이키 줌 보메로 5 포톤 더스트 그리드아이언,https://kream.co.kr/products/252533,Nike,1448,171000,HJ3758-001,2024/03/07,74,189000,Photon Dust/Gridiron/Sail/Chrome,4,320000,2024/04/03,150000,2024/05/17,4774,64
뉴발란스 530 스틸 블루,https://kream.co.kr/products/28261,New Balance,6133,115000,MR530KC,2021/01/08,1228,129000,Steel Blue,1,270000,2024/04/18,75000,2021/01/15,1,138
뉴발란스 530 그레이 매터 실버 메탈릭,https://kream.co.kr/products/178942,New Balance,2264,126000,MR530LG,2023/08/25,269,129000,Grey Matter/Silver Metallic/Magnet,3,199000,2024/04/28,85000,2023/11/23,8191,33
뉴발란스 1906R 실버 메탈릭 씨 솔트,https://kream.co.kr/products/226052,New Balance,1298,183000,M1906REE,2024/01/12,129,179000,Silver Metallic/Sea Salt,2,320000,2024/04/07,134000,2024/02/14,5466,18
나이키 에어 줌 알파플라이 넥스트% 3 볼트,https://kream.co.kr/products/240723,Nike,1879,392000,FD8311-700,2024/02/15,95,329000,Volt/Dusty Cactus/Total Orange/Concord,4,660000,2024/02/15,359000,2024/05/07,2335,85
(J) 아디다스 슈퍼스타 블랙 화이트,https://kream.co.kr/products/76368,Adidas,21000,74000,EF5398,-,,109000,Core Black/Cloud White/Core Black,3,207000,2023/03/06,50000,2022/10/13,3,341
뉴발란스 574 레거시 네이비,https://kream.co.kr/products/65216,New Balance,45000,112000,U574LGBB,2022/05/05,746,149000,Navy,1,619000,2023/01/29,73000,2023/11/21,7,918
뉴발란스 530 그레이,https://kream.co.kr/products/135624,New Balance,9619,136000,MR530CK,2023/08/18,276,139000,Grey,1,220000,2024/04/15,95000,2023/12/20,2,99
아식스 젤 1090 피드몬트 그레이,https://kream.co.kr/products/65628,Asics,14000,160000,1203A241-020,-,,147500,Piedmont Grey/Tarmac,2,298000,2023/05/10,94000,2023/02/23,5,391
(W) 나이키 줌 보메로 5 프리미엄 디자인 바이 재팬,https://kream.co.kr/products/268264,Nike,111,245000,HF4524-111,2024/05/17,3,219000,Pale Ivory/Black/Light Bone/Pale Vanilla/Aquarius Blue,5,349000,2024/05/12,170000,2024/04/26,932,7
아디다스 가젤 인도어 코어 화이트 프리러브 잉크,https://kream.co.kr/products/245029,Adidas,1274,147000,IG1643,2024/03/28,53,159000,Core White/Preloved Ink/Off White,3,279000,2024/03/29,60000,2024/05/16,1,36
오니츠카 타이거 멕시코 66 빈티지 화이트 블랙,https://kream.co.kr/products/91049,Onitsuka Tiger,13000,195000,1183B391-200,-,,160000,White/Black,2,299000,2024/03/04,101000,2023/10/16,4,151
조던 1 x 트래비스 스캇 x 프라그먼트 레트로 로우 OG SP 밀리터리 블루,https://kream.co.kr/products/38367,Jordan,152000,2325000,DM7866-140,2021/08/13,1011,189000,Sail/Black/Military Blue,3,4000000,2021/08/03,144000,2021/12/28,3,8
(GS) 나이키 에어포스 1 LE 화이트,https://kream.co.kr/products/31419,Nike,33000,114000,DH2920-111,2021/03/16,1161,109000,White/White,2,184000,2022/03/11,70000,2024/05/09,4,326
온 러닝 x 포스트 아카이브 팩션 (파프) 클라우드몬스터 2 블랙 마그넷,https://kream.co.kr/products/272073,On Running,262,462000,3ME10330761,2024/05/03,17,279000,Black/Magnet,2,650000,2024/05/01,400000,2024/05/09,2813,20
(W) 아디다스 스페지알 핸드볼 코어 블랙 클리어 핑크,https://kream.co.kr/products/216183,Adidas,7942,170000,IE5897,2023/11/18,184,139000,Core Black/Clear Pink/Gum,3,319000,2024/01/11,125000,2024/04/07,4,122
아식스 젤 1130 화이트 블랙,https://kream.co.kr/products/119424,Asics,9082,139000,1201A933-100,2023/04/28,388,109000,White/Black,2,349000,2023/07/28,96000,2023/11/28,30000,359
나이키 x 슈프림 에어포스 1 로우 블랙,https://kream.co.kr/products/23626,Nike,26000,188000,CU9225-001,2020/03/05,1537,159800,Black/Black-Black,2,550000,2022/12/05,132000,2023/09/16,3,1
호카 호파라 블랙 캐슬 락,https://kream.co.kr/products/230920,Hoka,742,198000,1123112-BCSTL,-,,179000,Black/Castle Rock,2,247000,2024/04/18,140000,2024/03/24,2832,19
나이키 덩크 로우 레트로 블랙,https://kream.co.kr/products/28029,Nike,338000,113000,DD1391-100,2021/01/14,1222,139000,White/Black,2,550000,2021/01/04,31000,2021/11/20,12,13
(W) 나이키 에어포스 1 '07 WB 플랙스 위트,https://kream.co.kr/products/219423,Nike,1060,167000,FZ7372-200,2023/12/18,154,164600,Flax/Wheat/Gum Light Brown,3,307000,2024/03/18,110000,2024/05/14,4962,20
아디다스 토바코 그루엔 다크 브라운,https://kream.co.kr/products/82296,Adidas,6564,130000,GX6941,2022/11/10,557,139000,Dark Brown/Brown/Night Brown,3,490000,2023/08/10,115000,2024/05/08,3,203
나이키 에어포스 1 '07 LV8 미드나잇 네이비,https://kream.co.kr/products/78768,Nike,25000,134000,DQ7659-101,2022/11/14,553,139000,Sail/Midnight Navy/Gum Medium Brown,3,389000,2022/12/25,100000,2023/11/28,7,445
나이키 x 보디 아스트로 그래버 SP 블랙 코코넛 밀크,https://kream.co.kr/products/273131,Nike,159,637000,FJ9821-001,2024/05/01,19,216700,Black/White,2,1050000,2024/05/01,460000,2024/05/06,3235,15
아식스 젤 1130 스틸 그레이 퓨어 실버,https://kream.co.kr/products/153967,Asics,2267,133000,1201A934-020,2023/07/26,299,109000,Steel Grey/Pure Silver,2,550000,2024/02/21,75000,2023/09/07,1,104
아디다스 이지 폼 러너 오닉스,https://kream.co.kr/products/64439,Adidas,9563,142000,HP8739,2022/06/24,696,129000,Onyx/Onyx/Onyx,3,600000,2023/04/20,124000,2024/05/18,1,913
살로몬 XT-6 ADV 블랙,https://kream.co.kr/products/25673,Salomon,24000,211000,L41086600,2020/04/27,1484,260000,Black/Phantom,2,560000,2022/07/30,143000,2023/07/12,3,992
살로몬 XT-6 익스팬스 바닐라 아이스 화이트,https://kream.co.kr/products/73876,Salomon,5378,207000,L41741400,2022/08/06,653,,Vanilla Ice/White/Alloy,3,550000,2023/10/10,160000,2022/12/27,30000,142
아디다스 x 풋 인더스트리 가젤 인도어 오프 화이트 샌드 스트라타,https://kream.co.kr/products/209135,Adidas,408,180000,IG1896,2023/12/01,171,169000,Off White/Off White/Sand Strata,3,419000,2024/03/14,90000,2024/04/26,9149,16
조던 1 미드 라이트 스모크 그레이,https://kream.co.kr/products/23354,Jordan,46000,110000,554724-092,2020/01/11,1591,159000,Light Smoke Grey/Black-White,2,905000,2021/12/13,100000,2024/05/15,5,2
클락스 왈라비 메이플 스웨이드,https://kream.co.kr/products/84745,Clarks,15000,138000,261-55515,-,,258000,Maple Suede,1,265000,2023/02/22,100000,2023/10/27,2,893
나이키 SB 덩크 로우 프로 시카고,https://kream.co.kr/products/25283,Nike,7007,244000,BQ6817-600,-,,,Varsity Red/White-Varsity Red-Black,2,1900000,2020/08/21,211000,2024/04/09,1,1
아식스 언리미티드 젤소노마 15-50 스틸 그레이 퓨어 실버,https://kream.co.kr/products/276265,Asics,1326,204000,1203A668-020,2024/04/11,39,139000,Steel Grey/Pure Silver,2,262000,2024/05/12,140000,2024/04/20,7797,85
아식스 젤 카야노 14 블랙 퓨어 실버,https://kream.co.kr/products/227052,Asics,3566,191000,1201A019-006,2024/02/15,95,169000,Black/Pure Silver,2,400000,2024/02/05,159000,2024/04/27,1,180
뉴발란스 x 포터리 574 프리미엄 하드 네이비,https://kream.co.kr/products/257712,New Balance,3309,154000,U574BG2,2024/03/15,66,149000,Hard Navy,1,230000,2024/04/03,116000,2024/04/18,1,77
조던 1 로우 까치,https://kream.co.kr/products/145303,Jordan,4209,130000,FD0399-004,2023/07/21,304,159000,Ironstone,1,499000,2024/03/16,100000,2024/04/25,1,354
나이키 V2K 런 퓨어 플래티넘 라이트 아이언 오어,https://kream.co.kr/products/271895,Nike,241,140000,HJ4497-100,-,,139000,Summit White/Pure Platinum/Light Iron Ore/Metallic Silver,4,220000,2024/05/05,100000,2024/05/16,1718,9
나이키 필드 제너럴 82 SP 화이트 바시티 레드,https://kream.co.kr/products/241529,Nike,1515,164000,FQ8762-100,2024/02/29,81,119000,White/Varsity Red/Black,3,308000,2024/03/03,123000,2024/05/18,7480,54
아디다스 삼바 OG 컬리지에이트 그린,https://kream.co.kr/products/75971,Adidas,5046,112000,HP7902,2022/09/01,627,139000,Collegiate Green/Core White/Gum,3,799000,2023/05/19,80000,2024/05/06,2,107
아식스 젤 벤쳐 6 SPS 버치 프렌치 블루,https://kream.co.kr/products/72020,Asics,17000,108000,1203A239-200,-,,109000,Birch/French Blue,2,300000,2023/05/17,62000,2022/09/05,4,285
아식스 젤 소노마 15-50 블랙,https://kream.co.kr/products/56582,Asics,11000,145000,1201A438-001,-,,129000,Black/Black,2,399000,2023/07/10,80000,2022/05/16,2,196
나이키 x 매튜 M 윌리엄스 줌 006 TRD 런 블랙,https://kream.co.kr/products/285136,Nike,18,426000,DR5385-001,2024/05/16,4,349000,Black/Black,2,650000,2024/05/16,399000,2024/05/18,373,3
(W) 아식스 젤 1130 화이트 페이디드 애쉬 락,https://kream.co.kr/products/259793,Asics,1380,160000,1202A164-113,2024/03/13,68,109000,White/Faded Ash Rock,2,238000,2024/04/15,90000,2024/05/10,9254,24
아디다스 아딜렛 클로그 화이트 블랙,https://kream.co.kr/products/37040,Adidas,5977,36000,FY8970,2020/10/04,1324,45000,Footwear White/Core Black/Footwear White,3,99000,2023/10/23,25000,2024/04/29,8157,195
(W) 나이키 에어포스 1 '07 로우 트리플 블랙,https://kream.co.kr/products/18402,Nike,29000,122000,315115-038/DD8959-001,-,,121800,Black/Black-Black,2,330000,2022/02/23,70000,2023/07/18,5,549
아식스 언리미티드 젤 카야노 14 캐리어 그레이 블랙,https://kream.co.kr/products/261734,Asics,1781,340000,1203A549-020,2024/03/19,62,179000,Carrier Grey/Black,2,426000,2024/05/15,244000,2024/04/29,8380,163
반스 올드스쿨 웨이브 워시드 레드,https://kream.co.kr/products/259842,Vans,119,70000,VN000CR5CJH1,-,,89000,Red,1,150000,2024/05/18,55000,2024/05/11,1337,6
나이키 코르테즈 화이트 앤 블랙,https://kream.co.kr/products/97819,Nike,4258,89000,DM4044-100,2023/02/09,466,109000,White/Black/Light Photon Blue,3,200000,2023/06/05,55000,2024/01/22,1,128
뉴발란스 530 실버 크림,https://kream.co.kr/products/92735,New Balance,5571,105000,MR530TA,2023/01/06,500,119000,Silver/Cream,2,190000,2024/03/16,60000,2024/02/26,1,151
(W) 나이키 코르테즈 SE 밸런타인데이 세일 어도비,https://kream.co.kr/products/234823,Nike,1824,116000,FZ5167-133,2024/02/14,96,129000,Sail/Adobe/Medium Soft Pink/Team Red,4,189000,2024/02/02,78000,2024/03/26,8027,22
아디다스 삼바 OG 코어 화이트 헤일로 블루,https://kream.co.kr/products/165318,Adidas,4438,176000,ID2055,2023/08/11,283,139000,Core White/Halo Blue/Gum,3,450000,2023/08/28,100000,2023/11/12,3,75
나이키 V2K 런 화이트 퍼,https://kream.co.kr/products/172345,Nike,1791,121000,FD0736-101,2023/09/08,255,139000,White/Photon Dust/Fir/Platinum Tint,4,199000,2024/02/22,61000,2023/12/28,6079,73
(W) 아식스 젤 1130 화이트 미드나잇,https://kream.co.kr/products/95203,Asics,13000,167000,1202A164-110,2023/01/13,493,99000,White/Midnight,2,290000,2024/03/17,66000,2023/02/18,3,260
나이키 P-6000 프리미엄 라이트 아이언 오어,https://kream.co.kr/products/163347,Nike,1727,120000,FN6837-012,2023/07/01,324,162500,Light Iron Ore/Metallic Silver/Photon Dust/Flat Pewter/Summit White,5,299000,2024/02/09,90000,2024/05/10,4942,40
살로몬 XT-6 ADV 화이트,https://kream.co.kr/products/25672,Salomon,19000,214000,L41252900,2020/04/27,1484,260000,White/Lunar Rock,2,650000,2022/06/25,120000,2023/12/23,3,669
아식스 젤 벤쳐 6 페더 그레이 블랙,https://kream.co.kr/products/99049,Asics,13000,122000,1201A897-020,2023/02/10,465,99000,Feather Grey/Black,2,445000,2023/03/22,89000,2024/05/02,4,461
나이키 x 슈프림 SB 다윈 로우 화이트,https://kream.co.kr/products/284651,Nike,147,196000,FQ3000-100,2024/05/02,18,159800,White,1,349000,2024/05/04,180000,2024/05/15,1461,9
뉴발란스 860v2 화이트 블랙,https://kream.co.kr/products/30704,New Balance,3687,126000,ML860XD,2023/06/02,353,159000,White/Black,2,259000,2022/06/16,95000,2021/11/14,1,123
나이키 줌 보메로 5 SP 블랙,https://kream.co.kr/products/138416,Nike,7780,142000,BV1358-003,2023/07/03,322,189000,Black/Black/White,3,288000,2023/07/03,109000,2024/05/03,1,151
나이키 줌X 베이퍼플라이 넥스트% 3 엘리우드 킵초게,https://kream.co.kr/products/170157,Nike,2966,230000,FD6556-100,-,,299000,White/Chile Red,2,440000,2024/04/20,120000,2024/02/25,3997,71
아디다스 스페지알 핸드볼 화이트 코어 블랙,https://kream.co.kr/products/138359,Adidas,2562,124000,IE3403,2023/06/21,334,139000,White/Core Black,2,260000,2023/10/05,65000,2024/01/23,1,26
(W) 아디다스 삼바 OG 코어 블랙 원더 화이트,https://kream.co.kr/products/231430,Adidas,3817,165000,IE5836,2023/12/08,164,139000,Core Black/Wonder White/Silver Metallic,3,270000,2024/04/03,93000,2024/04/28,2,57
GU 리얼 레더 모카신 슈즈 블랙,https://kream.co.kr/products/239928,GU,1629,35000,347372/346447,-,,43400,Black,1,110000,2024/03/21,20000,2024/04/05,6808,33
(W) 아디다스 스페지알 핸드볼 원더 화이트 코어 블랙,https://kream.co.kr/products/227047,Adidas,722,169000,IE3698,2023/12/29,143,148900,Wonder White/Core Black/Magic Beige,3,350000,2024/02/29,129000,2024/04/25,6241,16
아디다스 VL 코트 베이스 코어 블랙 클라우드 화이트,https://kream.co.kr/products/187443,Adidas,4303,47000,ID3712,-,,,Core Black/Cloud White/Core Black,3,99000,2024/02/14,20000,2024/04/23,1,33
(W) 아디다스 가젤 인도어 블리스 핑크,https://kream.co.kr/products/129267,Adidas,7269,163000,IE7002,2023/06/23,332,169000,Bliss Pink/Core Black/Collegiate Purple,3,600000,2023/06/04,130000,2023/12/29,30000,262
(W) 아식스 젤 카야노 14 클라우드 그레이 클레이 그레이,https://kream.co.kr/products/223023,Asics,378,229000,1202A056-021,2024/01/01,140,203100,Cloud Grey/Clay Grey,2,326000,2024/02/28,140000,2024/04/25,3912,16
아디다스 스페지알 핸드볼 코어 블랙,https://kream.co.kr/products/50676,Adidas,6031,119000,DB3021,-,,139000,Core Black/Cloud White/Gum5,3,305000,2022/11/25,50000,2024/05/16,1,174
오니츠카 타이거 멕시코 66 실버 오프 화이트,https://kream.co.kr/products/235267,Onitsuka Tiger,977,167000,1183B566-021,-,,222900,Silver/Off White,2,248000,2024/05/04,110000,2024/04/24,5430,19
아식스 젤 카야노 14 블랙 글레이셔 그레이,https://kream.co.kr/products/178192,Asics,2507,298000,1201A935-001,2023/09/22,241,179000,Black/Glacier Grey,2,630000,2024/03/08,156000,2023/10/19,1,206
오니츠카 타이거 멕시코 66 화이트 라이트 세이지,https://kream.co.kr/products/91051,Onitsuka Tiger,3575,179000,1183A942-101,-,,170000,White/Light Sage,2,330000,2023/04/06,110000,2023/07/10,20000,26
아식스 조그 100 S 시트 락 - 2E 와이드,https://kream.co.kr/products/50998,Asics,32000,78000,1201A715-020,2022/02/09,831,79000,Sheet Rock/Black,2,250000,2022/11/09,60000,2024/05/06,50000,1
아식스 언리미티드 젤 카야노 14 미스트 크림,https://kream.co.kr/products/261736,Asics,706,260000,1203A549-400,2024/03/20,61,179000,Mist/Cream,2,465000,2024/04/09,196000,2024/03/22,3755,80
(W) 조던 1 로우 듄 레드 블루 그레이,https://kream.co.kr/products/220644,Jordan,146,95000,DC0774-164,2024/01/01,140,191800,Sail/Dune Red/Blue Grey/White,4,242000,2024/03/20,77000,2024/05/06,2036,3
아디다스 이지 폼 러너 믹스 그래닛,https://kream.co.kr/products/202351,Adidas,2176,154000,IE4931,2024/03/15,66,129000,Mx Granite/Mx Granite/Mx Granite,3,220000,2024/04/12,113000,2024/05/04,5045,247
